,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_8,V5_1_1,V5_1_2,OTU.ID
20,OTU36,401,1,401,715,176,576,100,730,0,99.501,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Aplanochytrium,s:Aplanochytrium_sp,FJ389869.1.715_U;tax,k:Eukaryota,OTU36.p:Stramenopiles-Bigyra.g:Aplanochytrium
21,OTU40,401,1,401,1831,558,957,100,684,0,97.506,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:AND16-lineage,g:AND16-lineage_X,s:AND16-lineage_X_sp,AY965863.1.1831_U;tax,k:Eukaryota,OTU40.p:Evosea-Evosea_X.g:AND16-lineage_X
22,OTU41,406,1,406,1883,578,989,100,457,2.64e-127,86.925,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Ceratiomyxella,s:Ceratiomyxella_tahitiensis,FJ544419.1.1883_U;tax,k:Eukaryota,OTU41.p:Evosea-Evosea_X.g:Ceratiomyxella
23,OTU43,395,1,395,1289,133,528,100,702,0,98.737,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Hemiflagellochloris,s:Hemiflagellochloris_kazakhstanica,KF652114.1.1289_U;tax,k:Eukaryota,OTU43.p:Chlorophyta-Chlorophyta_X.g:Hemiflagellochloris
24,OTU46,386,1,386,1055,523,908,100,708,0,99.741,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Labyrinthula,s:Labyrinthula_terrestris,CL603046.1.1056_U;tax,k:Eukaryota,OTU46.p:Stramenopiles-Bigyra.g:Labyrinthula
25,OTU47,409,171,409,1687,691,925,58,117,5.14e-25,75.833,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Colemanosphaera,s:Colemanosphaera_charkowiensis,MW678799.1.1687_U;tax,k:Eukaryota,OTU47.p:Chlorophyta-Chlorophyta_X.g:Colemanosphaera
26,OTU49,410,1,410,1883,578,989,100,311,2.2e-83,80.806,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Ceratiomyxella,s:Ceratiomyxella_tahitiensis,FJ544419.1.1883_U;tax,k:Eukaryota,OTU49.p:Evosea-Evosea_X.g:Ceratiomyxella
27,OTU50,398,1,398,1802,552,949,100,664,0,96.734,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_sp,AB425944.1.1802_U;tax,k:Eukaryota,OTU50.p:Evosea-Evosea_X.g:Filamoeba
28,OTU51,408,1,408,1822,592,1000,100,713,0,98.049,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Glissomonadida,f:Sandonidae,g:Neoheteromita,s:Neoheteromita_globosa,U42447.1.1822_U;tax,k:Eukaryota,OTU51.p:Rhizaria-Cercozoa.g:Neoheteromita
29,OTU53,442,1,442,1038,478,916,100,774,0,98.416,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,JN825689.1.1038_U;tax,k:Eukaryota,OTU53.p:Evosea-Evosea_X.g:Variosea_XXX
30,OTU54,402,1,402,1519,436,839,100,484,1.2e-135,88.366,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Nolandellidae,g:Nolandellidae_X,s:Nolandellidae_X_sp,AY821961.1.1519_U;tax,k:Eukaryota,OTU54.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X
31,OTU58,405,1,405,1796,581,985,100,743,0,99.753,d:TSAR,p:Stramenopiles-Gyrista,c:Eustigmatophyceae,o:Eustigmatophyceae_X,f:Eustigmatophyceae_XX,g:Vischeria,s:Vischeria_stellata,KY271666.1.1796_U;tax,k:Eukaryota,OTU58.p:Stramenopiles-Gyrista.g:Vischeria
32,OTU59,402,1,402,1880,583,984,100,737,0,99.751,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Labyrinthulaceae_ANT10_3,s:Labyrinthulaceae_ANT10_3_sp,AY916582.1.1880_U;tax,k:Eukaryota,OTU59.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_ANT10_3
33,OTU60,396,1,396,1718,541,936,100,660,0,96.734,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlamydomonas,s:Chlamydomonas_applanata,MG696556.1.1718_U;tax,k:Eukaryota,OTU60.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonas
34,OTU62,415,1,415,1877,592,1000,100,335,1.32e-90,81.667,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EF024417.1.1877_U;tax,k:Eukaryota,OTU62.p:Evosea-Evosea_X.g:Variosea_XXX
35,OTU65,398,1,398,1802,552,949,100,353,3.49e-96,82.878,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_sp,AB425944.1.1802_U;tax,k:Eukaryota,OTU65.p:Evosea-Evosea_X.g:Filamoeba
36,OTU66,397,1,397,1683,519,915,100,723,0,99.496,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlorosarcinopsis,s:Chlorosarcinopsis_sp,MH619544.1.1683_U;tax,k:Eukaryota,OTU66.p:Chlorophyta-Chlorophyta_X.g:Chlorosarcinopsis
37,OTU67,408,1,408,1832,561,968,100,743,0,99.51,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:Flamella-lineage,g:Flamella,s:Flamella_arnhemensis,LC371660.1.1832_U;tax,k:Eukaryota,OTU67.p:Evosea-Evosea_X.g:Flamella
38,OTU68,417,1,417,1883,578,989,100,244,2.31e-63,77.986,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Ceratiomyxella,s:Ceratiomyxella_tahitiensis,FJ544419.1.1883_U;tax,k:Eukaryota,OTU68.p:Evosea-Evosea_X.g:Ceratiomyxella
39,OTU69,408,1,408,1858,578,985,100,743,0,99.51,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:Flamella-lineage,g:Flamella,s:Flamella_aegyptia,EU186021.1.1858_U;tax,k:Eukaryota,OTU69.p:Evosea-Evosea_X.g:Flamella
40,OTU72,391,1,391,1873,642,1032,100,717,0,99.744,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Leptomyxida,f:Flabellulidae,g:Paraflabellula,s:Paraflabellula_hoguae,AF293899.1.1873_U;tax,k:Eukaryota,OTU72.p:Tubulinea-Tubulinea_X.g:Paraflabellula
41,OTU73,395,1,395,1762,565,959,100,708,0,98.987,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Naviculales,f:Naviculales_X,g:Mayamaea,s:Mayamaea_pseudoterrestris,LC648451.1.1762_U;tax,k:Eukaryota,OTU73.p:Stramenopiles-Gyrista.g:Mayamaea
42,OTU74,401,1,401,1024,569,965,100,516,4.24e-145,90.074,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:AND16-lineage,g:AND16-lineage_X,s:AND16-lineage_X_sp,EU798715.1.1024_U;tax,k:Eukaryota,OTU74.p:Evosea-Evosea_X.g:AND16-lineage_X
43,OTU75,398,1,398,1773,566,963,100,725,0,99.497,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Borodinellopsis,s:Borodinellopsis_texensis,KM020129.1.1773_U;tax,k:Eukaryota,OTU75.p:Chlorophyta-Chlorophyta_X.g:Borodinellopsis
44,OTU77,423,1,423,1891,575,1017,100,407,2.82e-112,84.152,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Mb5C-lineage,g:Mb5C-lineage_X,s:Mb5C-lineage_X_sp,AB425950.1.1891_U;tax,k:Eukaryota,OTU77.p:Evosea-Evosea_X.g:Mb5C-lineage_X
45,OTU78,398,1,398,1752,563,960,100,730,0,99.749,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Trebouxiophyceae,o:Chlorellales,f:Chlorellales_X,g:Nannochloris,s:Nannochloris_sp,MT968407.1.1752_U;tax,k:Eukaryota,OTU78.p:Chlorophyta-Chlorophyta_X.g:Nannochloris
46,OTU79,410,1,410,1883,578,989,100,300,4.76e-80,80.562,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Ceratiomyxella,s:Ceratiomyxella_tahitiensis,FJ544419.1.1883_U;tax,k:Eukaryota,OTU79.p:Evosea-Evosea_X.g:Ceratiomyxella
47,OTU81,397,1,397,1756,557,958,100,477,1.98e-133,88.424,d:Archaeplastida,p:Rhodelphidia-Rhodelphidia_X,c:Rhodelphea,o:Rhodelphida,f:Rhodelphidae,g:Rhodelphis,s:Rhodelphis_marinus,MK966712.1.1756_U;tax,k:Eukaryota,OTU81.p:Rhodelphidia-Rhodelphidia_X.g:Rhodelphis
48,OTU84,402,1,402,735,173,574,100,632,4.05e-180,95.025,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Labyrinthulaceae_X,s:Labyrinthulaceae_X_sp,FJ389881.1.735_U;tax,k:Eukaryota,OTU84.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_X
49,OTU86,412,1,412,1705,544,955,100,756,0,99.757,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Peronosporales,g:Phytophthora,s:Phytophthora_humicola,JN635108.1.1705_U;tax,k:Eukaryota,OTU86.p:Stramenopiles-Gyrista.g:Phytophthora
50,OTU87,408,164,408,1934,810,1058,72,268,1.34e-70,86.667,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:ATCC50593-lineage,g:ATCC50593-lineage_X,s:ATCC50593-lineage_X_sp,EU273440.1.1934_U;tax,k:Eukaryota,OTU87.p:Evosea-Evosea_X.g:ATCC50593-lineage_X
51,OTU89,400,1,400,1831,558,957,100,496,5.51e-139,89.082,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:AND16-lineage,g:AND16-lineage_X,s:AND16-lineage_X_sp,AY965863.1.1831_U;tax,k:Eukaryota,OTU89.p:Evosea-Evosea_X.g:AND16-lineage_X
52,OTU90,405,164,405,1204,172,412,60,152,1.39e-35,78.455,d:TSAR,p:Stramenopiles-Gyrista,c:Mediophyceae,o:Mediophyceae_X,f:Mediophyceae_XX,g:Mediophyceae_XXX,s:Mediophyceae_XXX_sp,HM443435.1.1204_U;tax,k:Eukaryota,OTU90.p:Stramenopiles-Gyrista.g:Mediophyceae_XXX
53,OTU92,407,1,407,989,475,889,100,261,2.23e-68,78.571,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EU545726.1.989_U;tax,k:Eukaryota,OTU92.p:Evosea-Evosea_X.g:Variosea_XXX
54,OTU94,407,1,407,1281,204,611,100,636,0,94.878,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Glissomonadida,f:Glissomonadida_X,g:Glissomonadida_XX,s:Glissomonadida_XX_sp,JN635482.1.1281_U;tax,k:Eukaryota,OTU94.p:Rhizaria-Cercozoa.g:Glissomonadida_XX
55,OTU95,406,1,406,1767,565,970,100,689,0,97.291,d:TSAR,p:Stramenopiles-Gyrista,c:Hyphochytriomyceta,o:Hyphochytriales,f:Hyphochrytriaceae,g:Hyphochytrium,s:Hyphochytrium_catenoides,AB695482.1.1767_U;tax,k:Eukaryota,OTU95.p:Stramenopiles-Gyrista.g:Hyphochytrium
56,OTU97,392,1,392,1779,581,972,100,702,0,98.98,d:TSAR,p:Alveolata-Ciliophora,c:Colpodea,o:Colpodea_X,f:Colpodida,g:Pseudoplatyophrya,s:Pseudoplatyophrya_nana,AF060452.1.1779_U;tax,k:Eukaryota,OTU97.p:Alveolata-Ciliophora.g:Pseudoplatyophrya
57,OTU99,396,1,396,1353,534,929,100,726,0,99.747,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlamydomonas,s:Chlamydomonas_sp,KM985409.1.1353_U;tax,k:Eukaryota,OTU99.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonas
58,OTU100,411,1,411,1822,584,993,100,614,1.5e-174,93.689,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Peronosporales,g:Pythium,s:Pythium_ultimum,ADOS01001233.4027.5848_U;tax,k:Eukaryota,OTU100.p:Stramenopiles-Gyrista.g:Pythium
59,OTU101,409,1,409,1877,592,1000,100,313,6.1e-84,80.815,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EF024417.1.1877_U;tax,k:Eukaryota,OTU101.p:Evosea-Evosea_X.g:Variosea_XXX
60,OTU102,391,1,391,1635,514,904,100,717,0,99.744,d:TSAR,p:Alveolata-Ciliophora,c:Colpodea,o:Colpodea_X,f:Colpodida,g:Colpoda,s:Colpoda_sp,MT001198.1.1635_U;tax,k:Eukaryota,OTU102.p:Alveolata-Ciliophora.g:Colpoda
61,OTU104,404,170,404,1413,377,615,58,156,1.07e-36,79.268,d:TSAR,p:Stramenopiles-Gyrista,c:Phaeophyceae,o:Phaeophyceae_X,f:Phaeophyceae_XX,g:Phaeophyceae_XXX,s:Phaeophyceae_XXX_sp,EF100237.1.1413_U;tax,k:Eukaryota,OTU104.p:Stramenopiles-Gyrista.g:Phaeophyceae_XXX
62,OTU105,422,1,422,1038,478,916,100,479,5.88e-134,87.22,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,JN825689.1.1038_U;tax,k:Eukaryota,OTU105.p:Evosea-Evosea_X.g:Variosea_XXX
63,OTU106,403,276,403,1730,834,961,32,159,8.28e-38,89.062,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulomycetes_LAB5,g:Labyrinthulomycetes_LAB5_X,s:Labyrinthulomycetes_LAB5_X_sp,AY381210.1.1730_U;tax,k:Eukaryota,OTU106.p:Stramenopiles-Bigyra.g:Labyrinthulomycetes_LAB5_X
64,OTU107,399,1,399,1108,138,536,100,732,0,99.749,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Hantzschia,s:Hantzschia_amphioxys,OL780426.1.1108_U;tax,k:Eukaryota,OTU107.p:Stramenopiles-Gyrista.g:Hantzschia
65,OTU111,397,1,397,1729,516,912,100,706,0,98.741,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Spongiococcum,s:Spongiococcum_sp,MT968395.1.1729_U;tax,k:Eukaryota,OTU111.p:Chlorophyta-Chlorophyta_X.g:Spongiococcum
66,OTU113,407,1,407,1817,560,966,100,425,7.47e-118,85.575,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Acramoebidae,g:Acramoebidae_X,s:Acramoebidae_X_sp,AB695507.1.1817_U;tax,k:Eukaryota,OTU113.p:Evosea-Evosea_X.g:Acramoebidae_X
67,OTU114,394,1,394,1718,549,942,100,717,0,99.492,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Hypotrichia,f:Spirofilidae,g:Pseudouroleptus,s:Pseudouroleptus_caudatus,MH000680.1.1718_U;tax,k:Eukaryota,OTU114.p:Alveolata-Ciliophora.g:Pseudouroleptus
68,OTU116,398,1,398,1846,572,969,100,691,0,97.99,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_nolandi,AF293896.1.1846_U;tax,k:Eukaryota,OTU116.p:Evosea-Evosea_X.g:Filamoeba
69,OTU117,397,1,397,1802,552,949,100,340,2.71e-92,82.382,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Filamoebidae,g:Filamoeba,s:Filamoeba_sp,AB425944.1.1802_U;tax,k:Eukaryota,OTU117.p:Evosea-Evosea_X.g:Filamoeba
70,OTU120,395,1,395,2841,577,971,100,725,0,99.747,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Fasciculochloris,s:Fasciculochloris_sp,MT735193.1.2841_U;tax,k:Eukaryota,OTU120.p:Chlorophyta-Chlorophyta_X.g:Fasciculochloris
71,OTU121,419,1,419,1758,556,958,100,555,9.43e-157,91.169,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Pterocystida,o:Pterista,f:Pterocystidae,g:Pterocystis,s:Pterocystis_sp,AY268043.1.1758_U;tax,k:Eukaryota,OTU121.p:Centroplasthelida-Centroplasthelida_X.g:Pterocystis
72,OTU122,385,1,385,1721,555,939,100,651,0,97.143,d:TSAR,p:Alveolata-Ciliophora,c:Nassophorea,o:Nassophorea_X,f:Nassulida,g:Nassulida_X,s:Nassulida_X_sp,AB695449.1.1721_U;tax,k:Eukaryota,OTU122.p:Alveolata-Ciliophora.g:Nassulida_X
73,OTU123,406,1,406,1877,592,1000,100,420,3.47e-116,85.507,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EF024417.1.1877_U;tax,k:Eukaryota,OTU123.p:Evosea-Evosea_X.g:Variosea_XXX
74,OTU124,403,1,403,1208,586,988,100,734,0,99.504,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Vermamoebidae,g:Hartmannella,s:Hartmannella_vermiformis,KC306529.1.1208_U;tax,k:Eukaryota,OTU124.p:Tubulinea-Tubulinea_X.g:Hartmannella
75,OTU128,392,1,392,1583,450,841,100,719,0,99.745,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Hypotrichia,f:Oxytrichidae,g:Sterkiella,s:Sterkiella_sp,MF375457.1.1583_U;tax,k:Eukaryota,OTU128.p:Alveolata-Ciliophora.g:Sterkiella
76,OTU129,412,1,412,1799,559,970,100,756,0,99.757,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Peronosporales,g:Pythium,s:Pythium_lucens,HQ643681.1.1799_U;tax,k:Eukaryota,OTU129.p:Stramenopiles-Gyrista.g:Pythium
77,OTU130,398,1,398,1801,587,984,100,730,0,99.749,d:TSAR,p:Alveolata-Apicomplexa,c:Coccidiomorphea,o:Eimeriida,f:Eimeriidae,g:Cyclospora,s:Cyclospora_cayetanensis,QBLG01000836.1186.2986_U;tax,k:Eukaryota,OTU130.p:Alveolata-Apicomplexa.g:Cyclospora
78,OTU132,397,1,397,1721,562,958,100,723,0,99.496,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Deasonia,s:Deasonia_granata,MG491517.1.1721_U;tax,k:Eukaryota,OTU132.p:Chlorophyta-Chlorophyta_X.g:Deasonia
79,OTU135,409,1,409,1199,11,409,100,348,1.67e-94,82.609,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Streptophyta_XX,o:Streptophyta_XXX,f:Streptophyta_XXXX,g:Streptophyta_XXXXX,s:Streptophyta_XXXXX_sp,GU824549.1.1199_U;tax,k:Eukaryota,OTU135.p:Streptophyta-Streptophyta_X.g:Streptophyta_XXXXX
80,OTU136,407,1,407,2182,574,980,100,741,0,99.509,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Glissomonadida,f:Sandonidae,g:Flectomonas,s:Flectomonas_ekelundi,HM536169.1.2182_U;tax,k:Eukaryota,OTU136.p:Rhizaria-Cercozoa.g:Flectomonas
