,V5_4,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_1,V5_2,V5_3,kingdom,phylum,class,order,family,genus,species,OTU.ID
20,DQ396687,OTU636,328,23,328,500,1,294,93,200,2.04e-51,79.553,gi,ESA01948,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU636.g__Ambispora
21,EF154540,OTU198,323,23,323,461,1,291,93,231,7.13e-61,81.433,gi,ESA01313,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00247,OTU198.g__Glomus
22,EF154540,OTU214,320,23,320,461,1,291,93,217,1.98e-56,80.719,gi,ESA01313,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00247,OTU214.g__Glomus
23,EF154540,OTU684,198,54,198,461,149,291,73,195,5.5e-50,91.096,gi,ESA01313,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00247,OTU684.g__Glomus
24,EF409092,OTU28,325,183,325,265,123,263,44,174,1.23e-43,88.889,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU28.g__Glomus
25,EF409092,OTU192,328,186,328,265,121,263,44,193,3.42e-49,91.034,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU192.g__Glomus
26,EF409092,OTU257,330,187,330,265,120,263,44,189,4.45e-48,90.411,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU257.g__Glomus
27,EF409092,OTU265,321,179,321,265,123,263,45,185,5.59e-47,90.278,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU265.g__Glomus
28,EF409092,OTU533,321,179,321,265,123,263,45,185,5.59e-47,90.278,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU533.g__Glomus
29,EF409092,OTU723,324,191,324,265,131,263,41,180,2.63e-45,91.111,gi,ESA01467,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU723.g__Glomus
30,EU123409,OTU409,320,162,320,500,134,291,50,187,1.55e-47,88.199,gi,ESA02674,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00234,OTU409.g__Glomus
31,EU123462,OTU122,311,23,311,500,1,291,93,342,3.03e-94,88.014,gi,ESA02692,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU122.g__Paraglomus
32,EU123462,OTU166,313,23,313,500,1,291,93,311,8.6e-85,86.102,gi,ESA02692,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU166.g__Paraglomus
33,EU123462,OTU260,314,23,314,500,1,291,93,255,4.1e-68,82.712,gi,ESA02692,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU260.g__Paraglomus
34,EU123462,OTU327,314,23,314,500,1,291,93,300,1.87e-81,85.374,gi,ESA02692,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU327.g__Paraglomus
35,EU123462,OTU600,313,23,313,500,1,291,93,449,1.75e-126,94.502,gi,ESA02692,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU600.g__Paraglomus
36,EU332741,OTU95,315,23,315,504,1,297,93,492,2.88e-139,96.633,gi,ESA00179,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279,OTU95.g__Claroideoglomus
37,EU417636,OTU432,312,23,312,501,1,292,93,305,3.99e-83,86.139,gi,ESA01253,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00204,OTU432.g__Glomus
38,EU573738,OTU279,312,23,312,478,1,290,93,281,6.72e-76,84.3,gi,ESA01484,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU279.g__Archaeospora
39,EU573738,OTU297,310,23,310,478,1,290,93,302,5.12e-82,85.616,gi,ESA01484,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU297.g__Archaeospora
40,EU573738,OTU421,311,23,311,478,1,290,93,291,1.11e-78,84.983,gi,ESA01484,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU421.g__Archaeospora
41,EU573738,OTU459,322,23,322,478,1,290,93,207,1.2e-53,80,gi,ESA01484,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU459.g__Archaeospora
42,EU573738,OTU673,313,23,313,478,1,290,93,292,3.12e-79,85.235,gi,ESA01484,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU673.g__Archaeospora
43,EU573756,OTU180,321,23,321,466,1,291,93,257,1.17e-68,82.895,gi,ESA01485,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU180.g__Archaeospora
44,FN263166,OTU493,321,23,321,498,1,290,93,200,2e-51,79.47,gi,ESA02472,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00154,OTU493.g__Glomus
45,FN820272,OTU558,407,272,407,499,162,294,45,171,2.02e-42,89.706,gi,MOA00384,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU558.g__Ambispora
46,FN820272,OTU637,306,23,306,499,1,294,93,257,1.11e-68,83.498,gi,MOA00384,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU637.g__Ambispora
47,FN820272,OTU731,404,269,404,499,162,294,46,171,2e-42,89.706,gi,MOA00384,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU731.g__Ambispora
48,FN820274,OTU595,330,23,330,501,1,295,93,196,2.66e-50,79.299,gi,MOA00387,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU595.g__Ambispora
49,FN869783,OTU149,336,189,336,499,151,290,60,134,2.16e-31,83.893,gi,MOA00657,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00234,OTU149.g__Glomus
50,FN869783,OTU220,339,192,339,499,151,290,59,134,2.18e-31,83.893,gi,MOA00657,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00234,OTU220.g__Glomus
51,FN869783,OTU303,320,23,320,499,1,290,93,183,2e-46,78.758,gi,MOA00657,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00234,OTU303.g__Glomus
52,FR693458,OTU62,310,23,310,500,1,291,93,291,1.11e-78,84.983,gi,MOA00687,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU62.g__Paraglomus
53,FR693458,OTU165,309,23,309,500,1,291,93,291,1.11e-78,84.983,gi,MOA00687,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU165.g__Paraglomus
54,FR693608,OTU117,314,23,314,505,1,296,93,211,9.01e-55,80,gi,MOA00693,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU117.g__Claroideoglomus
55,FR715050,OTU13,313,23,313,500,1,291,93,538,3.63e-153,100,gi,MOA03352,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00098,OTU13.g__Glomus
56,FR715050,OTU568,329,1,278,500,278,1,84,492,3.02e-139,98.566,gi,MOA03352,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00098,OTU568.g__Glomus
57,FR821539,OTU335,313,23,313,500,1,291,93,532,1.69e-151,99.656,gi,TJA00651,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363,OTU335.g__Glomus
58,GQ140599,OTU737,315,23,315,499,1,293,93,508,2.86e-144,97.952,gi,MOA00344,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00242,OTU737.g__Ambispora
59,GQ140600,OTU25,319,23,319,506,1,297,93,549,1.71e-156,100,gi,MOA00336,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00055,OTU25.g__Claroideoglomus
60,GQ140600,OTU415,336,1,284,506,284,1,85,525,3.05e-149,100,gi,MOA00336,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00055,OTU415.g__Claroideoglomus
61,GU353870,OTU118,157,1,106,500,106,1,68,196,1.17e-50,100,gi,MOA00077,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU118.g__Glomus
62,GU353870,OTU588,312,23,312,500,1,291,93,525,2.81e-149,99.313,gi,MOA00077,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00063,OTU588.g__Glomus
63,GU353941,OTU382,310,23,310,507,1,298,93,159,3.26e-39,77.524,gi,MOA00049,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00057,OTU382.g__Claroideoglomus
64,GU353947,OTU201,315,23,315,499,1,290,93,322,4e-88,86.824,gi,MOA00066,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00332,OTU201.g__Glomus
65,GU353947,OTU252,312,23,312,499,1,290,93,309,3.08e-84,86.007,gi,MOA00066,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00332,OTU252.g__Glomus
66,GU353947,OTU497,315,23,315,499,1,290,93,289,4.06e-78,84.797,gi,MOA00066,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00332,OTU497.g__Glomus
67,GU353948,OTU580,315,23,315,502,1,293,93,215,6.99e-56,80.399,gi,MOA00094,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00151,OTU580.g__Glomus
68,HE576802,OTU40,318,25,318,503,3,294,92,148,7.26e-36,76.568,gi,MOA01119,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352,OTU40.g__Paraglomus
69,HE576802,OTU312,309,25,309,503,3,294,92,206,4.12e-53,80.201,gi,MOA01119,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352,OTU312.g__Paraglomus
70,HE576802,OTU318,309,25,309,503,3,294,92,195,8.92e-50,79.461,gi,MOA01119,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352,OTU318.g__Paraglomus
71,HE576802,OTU366,310,25,310,503,3,294,92,185,5.38e-47,78.859,gi,MOA01119,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352,OTU366.g__Paraglomus
72,HE576912,OTU159,310,23,310,498,1,292,93,265,6.72e-71,83.557,gi,MOA01171,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00350,OTU159.g__Paraglomus
73,HE576915,OTU171,312,23,312,499,1,292,93,161,9.14e-40,77.104,gi,MOA01174,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00350,OTU171.g__Paraglomus
74,HE576915,OTU571,320,23,320,499,1,292,93,202,5.53e-52,79.605,gi,MOA01174,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00350,OTU571.g__Paraglomus
75,HE576932,OTU268,319,23,319,510,1,301,93,475,2.94e-134,95.349,gi,MOA01183,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00357,OTU268.g__Claroideoglomus
76,HE578046,OTU496,333,1,282,500,282,1,85,521,3.9e-148,100,gi,MOA03384,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363,OTU496.g__Glomus
77,HE613456,OTU749,306,23,306,499,1,293,93,161,8.95e-40,77.441,gi,MOA08543,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00348,OTU749.g__Paraglomus
78,HE615035,OTU329,307,23,307,504,1,295,93,265,6.65e-71,83.502,gi,MOA03524,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU329.g__Claroideoglomus
79,HE615047,OTU473,323,23,323,509,1,301,93,556,1.04e-158,100,gi,MOA03534,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00357,OTU473.g__Claroideoglomus
80,HE615055,OTU71,312,23,312,499,1,290,93,531,6.05e-151,99.655,gi,MOA03540,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00064,OTU71.g__Glomus
81,HE615073,OTU53,316,23,316,504,1,295,93,466,1.75e-131,95.254,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU53.g__Claroideoglomus
82,HE615073,OTU174,331,192,331,504,161,295,42,171,1.62e-42,89.286,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU174.g__Claroideoglomus
83,HE615073,OTU189,326,181,326,504,155,295,45,143,3.47e-34,84.932,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU189.g__Claroideoglomus
84,HE615073,OTU191,330,191,330,504,161,295,42,165,7.5e-41,88.571,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU191.g__Claroideoglomus
85,HE615073,OTU227,339,194,339,504,155,295,43,176,3.57e-44,89.041,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU227.g__Claroideoglomus
86,HE615073,OTU232,333,191,333,504,155,295,43,191,1.25e-48,90.909,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU232.g__Claroideoglomus
87,HE615073,OTU247,330,184,330,504,155,295,45,139,4.55e-33,84.459,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU247.g__Claroideoglomus
88,HE615073,OTU276,339,196,339,504,155,295,42,185,5.93e-47,90.278,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU276.g__Claroideoglomus
89,HE615073,OTU333,320,23,320,504,1,295,93,453,1.38e-127,94.333,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU333.g__Claroideoglomus
90,HE615073,OTU441,332,192,332,504,161,295,42,167,2.1e-41,88.652,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU441.g__Claroideoglomus
91,HE615073,OTU538,342,199,342,504,157,295,42,172,4.66e-43,88.889,gi,MOA03554,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00402,OTU538.g__Claroideoglomus
92,HE798825,OTU2,313,23,313,500,1,291,93,538,3.63e-153,100,gi,MOA02859,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00100,OTU2.g__Glomus
93,HE798840,OTU602,311,25,311,500,3,291,92,261,8.73e-70,83.333,gi,MOA02874,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00419,OTU602.g__Glomus
94,HE798841,OTU195,309,23,309,500,1,291,93,224,1.14e-58,81.017,gi,MOA02875,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00419,OTU195.g__Glomus
95,HE798938,OTU72,310,25,310,499,3,290,92,187,1.5e-47,79.054,gi,MOA02972,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00132,OTU72.g__Glomus
96,HE798938,OTU146,310,25,310,499,3,290,92,182,6.96e-46,78.716,gi,MOA02972,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00132,OTU146.g__Glomus
97,HE799031,OTU530,337,191,337,500,144,291,59,195,9.79e-50,90.667,gi,MOA03065,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00184,OTU530.g__Glomus
98,HE799238,OTU598,330,185,330,501,149,292,59,191,1.24e-48,90.476,gi,MOA03272,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00098,OTU598.g__Glomus
99,HF566457,OTU188,310,23,310,497,1,291,93,329,2.35e-90,87.329,gi,MOA01418,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU188.g__Archaeospora
100,HF566457,OTU365,310,25,310,497,3,291,92,320,1.41e-87,87.031,gi,MOA01418,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU365.g__Archaeospora
101,HF566864,OTU271,314,181,314,501,158,290,43,196,2.52e-50,93.333,gi,MOA01825,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00361,OTU271.g__Glomus
102,HF566884,OTU448,312,23,312,504,1,291,93,226,3.19e-59,81.333,gi,MOA01845,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00367,OTU448.g__Glomus
103,HF567277,OTU551,312,23,312,441,1,289,93,529,2.17e-150,99.655,gi,MOA02238,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00224,OTU551.g__Glomus
104,HF567402,OTU101,310,27,310,501,5,292,92,302,5.12e-82,85.813,gi,MOA02363,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00093,OTU101.g__Glomus
105,HF568137,OTU340,338,25,74,498,3,52,15,82.4,7.98e-16,96,gi,MOA18254,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00054,OTU340.g__Diversispora
106,HF568366,OTU519,287,162,287,498,164,289,62,200,1.77e-51,95.312,gi,MOA18483,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143,OTU519.g__Glomus
107,HF568423,OTU491,316,23,316,498,1,291,93,141,1.21e-33,76.547,gi,MOA18540,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156,OTU491.g__Glomus
