,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,V5_1_3,V5_1_4,V5_1_5,OTU.ID
29,OTU29,293,1,246,522,277,522,84,449,8.51e-126,99.593,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Exserohilum,s__Exserohilum_rostratum,Exserohilum_rostratum,HE664050,SH0885118.09FU,refs,k__Fungi,OTU29.p__Ascomycota.g__Exserohilum
30,OTU30,285,1,232,499,268,499,81,412,1.09e-114,98.707,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Albifimbria,s__Albifimbria_verrucaria,Albifimbria_verrucaria,KU845893,SH1074164.09FU,refs,k__Fungi,OTU30.p__Ascomycota.g__Albifimbria
31,OTU31,268,1,207,476,270,476,77,366,8.04e-101,98.551,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Stolonocarpus,s__Stolonocarpus_sp,Stolonocarpus_sp,UDB07634549,SH0881579.09FU,reps,k__Fungi,OTU31.p__Ascomycota.g__Stolonocarpus
32,OTU32,264,1,220,479,259,479,83,385,2.18e-106,98.19,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_tenuissimum,Cladosporium_tenuissimum,KU821452,SH1081563.09FU,reps,k__Fungi,OTU32.p__Ascomycota.g__Cladosporium
33,OTU33,269,1,208,458,251,458,77,385,2.23e-106,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podospora,s__Podospora_sp,Podospora_sp,UDB07326907,SH0999994.09FU,reps,k__Fungi,OTU33.p__Ascomycota.g__Podospora
34,OTU34,267,1,206,449,244,449,77,370,6.19e-102,99.029,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Sordariales_gen_Incertae_sedis,s__Sordariales_sp,Sordariales_sp,UDB05105171,SH0939024.09FU,reps,k__Fungi,OTU34.p__Ascomycota.g__Sordariales_gen_Incertae_sedis
35,OTU35,262,1,134,467,256,387,51,108,5.25e-23,81.618,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Nowamycetaceae,g__Nowamyces,s__Nowamyces_globulus,Nowamyces_globulus,MN161941,SH0983576.09FU,reps,k__Fungi,OTU35.p__Ascomycota.g__Nowamyces
36,OTU36,278,1,217,448,231,448,78,390,4.97e-108,99.083,p__Ascomycota,c__Sordariomycetes,o__Lulworthiales,f__Lulworthiaceae,g__Lulworthiaceae_gen_Incertae_sedis,s__Lulworthiaceae_sp,Lulworthiaceae_sp,UDB03142541,SH1037861.09FU,reps,k__Fungi,OTU36.p__Ascomycota.g__Lulworthiaceae_gen_Incertae_sedis
37,OTU37,286,1,242,464,223,462,85,435,2.33e-121,99.174,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_piscis,Gibellulopsis_piscis,DQ825985,SH0941075.09FU,refs,k__Fungi,OTU37.p__Ascomycota.g__Gibellulopsis
38,OTU38,349,302,347,1125,57,12,13,69.4,3.36e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU38.p__Ascomycota.g__Fusarium
39,OTU39,357,320,355,758,510,545,10,67.6,1.24e-10,100,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Auriculariales_gen_Incertae_sedis,s__Auriculariales_sp,Auriculariales_sp,JQ272342,SH0954825.09FU,reps,k__Fungi,OTU39.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis
40,OTU40,289,1,172,522,283,457,60,198,3.35e-50,87.5,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Halosphaeriaceae,g__Halosphaeriaceae_gen_Incertae_sedis,s__Halosphaeriaceae_sp,Halosphaeriaceae_sp,UDB03252575,SH1096213.09FU,reps,k__Fungi,OTU40.p__Ascomycota.g__Halosphaeriaceae_gen_Incertae_sedis
41,OTU41,303,1,243,519,277,519,80,444,4.11e-124,99.588,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Cephalotrichum,s__Cephalotrichum_dendrocephalum,Cephalotrichum_dendrocephalum,LN850966,SH3135923.09FU,refs,k__Fungi,OTU41.p__Ascomycota.g__Cephalotrichum
42,OTU42,267,1,206,469,264,469,77,381,2.86e-105,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Sordariales_gen_Incertae_sedis,s__Sordariales_sp,Sordariales_sp,UDB05113794,SH0968845.09FU,reps,k__Fungi,OTU42.p__Ascomycota.g__Sordariales_gen_Incertae_sedis
43,OTU43,277,1,217,515,299,515,78,401,2.29e-111,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Papulaspora,s__Papulaspora_equi,Papulaspora_equi,JX280870,SH2520871.09FU,refs,k__Fungi,OTU43.p__Ascomycota.g__Papulaspora
44,OTU44,315,1,255,597,343,597,81,472,1.96e-132,100,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__Coprinellus_alkalinus,Coprinellus_alkalinus,UDB035290,SH1207641.09FU,refs,k__Fungi,OTU44.p__Basidiomycota.g__Coprinellus
45,OTU45,278,1,217,463,246,463,78,379,1.08e-104,98.165,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Ascomycota_gen_Incertae_sedis,s__Ascomycota_sp,Ascomycota_sp,UDB03409154,SH0936463.09FU,reps,k__Fungi,OTU45.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis
46,OTU46,363,1,302,580,277,580,83,538,2.23e-152,98.684,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,Fungi_sp,UDB04597193,SH1302576.09FU,reps,k__Fungi,OTU46.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis
47,OTU47,378,331,376,1125,57,12,12,69.4,3.67e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU47.p__Ascomycota.g__Fusarium
48,OTU48,291,1,231,498,268,498,79,427,3.96e-119,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,s__Sarocladium_implicatum,Sarocladium_implicatum,FN706540,SH0913436.09FU,refs,k__Fungi,OTU48.p__Ascomycota.g__Sarocladium
49,OTU49,299,1,238,501,266,501,80,405,1.91e-112,97.479,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Stachybotryaceae_gen_Incertae_sedis,s__Stachybotryaceae_sp,Stachybotryaceae_sp,UDB01844847,SH1074043.09FU,reps,k__Fungi,OTU49.p__Ascomycota.g__Stachybotryaceae_gen_Incertae_sedis
50,OTU50,270,1,218,481,263,481,81,398,2.87e-110,99.543,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,s__Talaromyces_paucisporus,Talaromyces_paucisporus,AB176603,SH4240811.09FU,refs_singleton,k__Fungi,OTU50.p__Ascomycota.g__Talaromyces
51,OTU51,326,1,265,565,301,565,81,468,2.64e-131,98.491,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae,g__Gloeoporus,s__Gloeoporus_sp,Gloeoporus_sp,UDB02236138,SH1273122.09FU,reps,k__Fungi,OTU51.p__Basidiomycota.g__Gloeoporus
52,OTU52,269,1,222,492,271,492,83,399,7.96e-111,99.099,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomidium,s__Chaetomidium_leptoderma,Chaetomidium_leptoderma,JN573176,SH0881853.09FU,refs,k__Fungi,OTU52.p__Ascomycota.g__Chaetomidium
53,OTU53,407,1,346,628,280,628,85,619,8.73e-177,98.854,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Idriella,s__Idriella_sp,Idriella_sp,UDB03590469,SH1265368.09FU,reps,k__Fungi,OTU53.p__Ascomycota.g__Idriella
54,OTU54,292,1,232,494,263,494,79,424,5.14e-118,99.569,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascales_fam_Incertae_sedis,g__Microascales_gen_Incertae_sedis,s__Microascales_sp,Microascales_sp,UDB061186,SH1091207.09FU,reps,k__Fungi,OTU54.p__Ascomycota.g__Microascales_gen_Incertae_sedis
55,OTU55,267,1,206,443,238,443,77,359,1.34e-98,98.058,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podospora,s__Podospora_sp,Podospora_sp,UDB05110506,SH0939025.09FU,reps,k__Fungi,OTU55.p__Ascomycota.g__Podospora
56,OTU56,285,1,224,509,287,509,79,390,5.1e-108,98.214,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Eurotiales_fam_Incertae_sedis,g__Eurotiales_gen_Incertae_sedis,s__Eurotiales_sp,Eurotiales_sp,OM899655,SH0906952.09FU,reps,k__Fungi,OTU56.p__Ascomycota.g__Eurotiales_gen_Incertae_sedis
57,OTU57,269,1,217,472,258,472,81,377,3.73e-104,98.157,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Lasiosphaeriaceae_gen_Incertae_sedis,s__Lasiosphaeriaceae_sp,Lasiosphaeriaceae_sp,MK247867,SH0945371.09FU,reps,k__Fungi,OTU57.p__Ascomycota.g__Lasiosphaeriaceae_gen_Incertae_sedis
58,OTU58,285,3,224,469,247,469,78,405,1.82e-112,99.552,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerellaceae_gen_Incertae_sedis,s__Plectosphaerellaceae_sp,Plectosphaerellaceae_sp,UDB04977944,SH0941147.09FU,reps,k__Fungi,OTU58.p__Ascomycota.g__Plectosphaerellaceae_gen_Incertae_sedis
59,OTU59,268,1,208,478,271,478,78,368,2.24e-101,98.558,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Acrophialophora,s__Acrophialophora_jodhpurensis,Acrophialophora_jodhpurensis,MK926790,SH0881845.09FU,refs,k__Fungi,OTU59.p__Ascomycota.g__Acrophialophora
60,OTU60,286,1,226,486,261,486,79,418,2.35e-116,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_sclerotigenum,Acremonium_sclerotigenum,AJ621772,SH1291669.09FU,refs,k__Fungi,OTU60.p__Ascomycota.g__Acremonium
61,OTU61,304,1,243,496,254,496,80,444,4.12e-124,99.588,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Brachybasidiaceae,g__Brachybasidiaceae_gen_Incertae_sedis,s__Brachybasidiaceae_sp,Brachybasidiaceae_sp,UDB01549893,SH1123160.09FU,reps,k__Fungi,OTU61.p__Basidiomycota.g__Brachybasidiaceae_gen_Incertae_sedis
62,OTU62,275,1,215,519,305,519,78,370,6.39e-102,97.685,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,s__Coniochaeta_sp,Coniochaeta_sp,UDB0228810,SH0947674.09FU,reps,k__Fungi,OTU62.p__Ascomycota.g__Coniochaeta
63,OTU63,268,1,208,536,330,536,78,366,8.04e-101,98.558,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Pleosporales_gen_Incertae_sedis,s__Pleosporales_sp,Pleosporales_sp,KP137418,SH0896665.09FU,reps,k__Fungi,OTU63.p__Ascomycota.g__Pleosporales_gen_Incertae_sedis
64,OTU64,327,251,325,1125,89,12,23,69.4,3.14e-11,83.544,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU64.p__Ascomycota.g__Fusarium
65,OTU65,284,1,224,488,265,488,79,405,1.82e-112,99.107,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Emericellopsis,s__Emericellopsis_glabra,Emericellopsis_glabra,AY632657,SH2067741.09FU,refs,k__Fungi,OTU65.p__Ascomycota.g__Emericellopsis
66,OTU66,325,1,264,561,298,561,81,488,2.02e-137,100,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae,g__Gloeoporus,s__Gloeoporus_sp,Gloeoporus_sp,UDB02236190,SH1273130.09FU,reps,k__Fungi,OTU66.p__Basidiomycota.g__Gloeoporus
67,OTU67,358,1,298,538,241,538,83,551,2.82e-156,100,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_magnum,Filobasidium_magnum,AF190008,SH1389554.09FU,refs,k__Fungi,OTU67.p__Basidiomycota.g__Filobasidium
68,OTU68,284,1,224,466,242,466,79,387,6.58e-107,97.778,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_slobbergiarum,Plectosphaerella_slobbergiarum,MW883443,SH3177798.09FU,refs,k__Fungi,OTU68.p__Ascomycota.g__Plectosphaerella
69,OTU69,263,1,202,427,226,427,77,363,1.02e-99,99.01,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Zopfiella,s__Zopfiella_sp,Zopfiella_sp,UDB07627973,SH1039525.09FU,reps,k__Fungi,OTU69.p__Ascomycota.g__Zopfiella
70,OTU70,287,1,133,442,220,355,46,137,7.4e-32,85.401,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Carlosrosaea,s__Carlosrosaea_sp,Carlosrosaea_sp,KX009100,SH0999671.09FU,reps,k__Fungi,OTU70.p__Basidiomycota.g__Carlosrosaea
71,OTU71,268,1,265,553,281,548,99,431,2.81e-120,95.911,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Chrysosporium,s__Chrysosporium_lobatum,Chrysosporium_lobatum,MK952494,SH1219450.09FU,reps,k__Fungi,OTU71.p__Ascomycota.g__Chrysosporium
72,OTU72,423,1,364,710,346,710,86,667,0,99.726,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,g__Ustilago,s__Ustilago_maydis,Ustilago_maydis,UDB016255,SH1058415.09FU,refs,k__Fungi,OTU72.p__Basidiomycota.g__Ustilago
73,OTU73,271,1,218,507,290,507,80,403,6.2e-112,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Madurella,s__Madurella_tropicana,Madurella_tropicana,JX280869,SH0881728.09FU,refs,k__Fungi,OTU73.p__Ascomycota.g__Madurella
74,OTU74,261,1,201,467,267,467,77,372,1.68e-102,100,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__Myrmecridium_thailandicum,Myrmecridium_thailandicum,KF777169,SH0980692.09FU,refs,k__Fungi,OTU74.p__Ascomycota.g__Myrmecridium
75,OTU75,366,1,305,578,278,578,83,494,4.93e-139,96.078,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp,Mortierella_sp,UDB04911054,SH1302567.09FU,reps,k__Fungi,OTU75.p__Mortierellomycota.g__Mortierella
76,OTU76,405,1,346,661,318,661,85,621,2.42e-177,99.133,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,g__Ustilago,s__Ustilago_sphaerogena,Ustilago_sphaerogena,JX219371,SH1089550.09FU,reps,k__Fungi,OTU76.p__Basidiomycota.g__Ustilago
77,OTU77,312,1,251,501,250,501,80,459,1.51e-128,99.603,p__Chytridiomycota,c__Chytridiomycetes,o__Chytridiales,f__Phlyctochytriaceae,g__Phlyctochytriaceae_gen_Incertae_sedis,s__Phlyctochytriaceae_sp,Phlyctochytriaceae_sp,UDB04551916,SH1331798.09FU,reps,k__Fungi,OTU77.p__Chytridiomycota.g__Phlyctochytriaceae_gen_Incertae_sedis
78,OTU78,264,1,204,465,262,465,77,350,7.96e-96,97.549,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,Fungi_sp,HG328077,SH0965554.09FU,reps,k__Fungi,OTU78.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis
79,OTU79,342,295,340,1125,57,12,13,69.4,3.29e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU79.p__Ascomycota.g__Fusarium
80,OTU80,271,1,210,490,281,490,77,388,1.74e-107,100,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,s__Talaromyces_fusiformis,Talaromyces_fusiformis,KU866656,SH2062493.09FU,refs,k__Fungi,OTU80.p__Ascomycota.g__Talaromyces
81,OTU81,267,1,206,455,250,455,77,381,2.86e-105,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectriaceae_gen_Incertae_sedis,s__Nectriaceae_sp,Nectriaceae_sp,UDB03053568,SH1087403.09FU,reps,k__Fungi,OTU81.p__Ascomycota.g__Nectriaceae_gen_Incertae_sedis
