,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,OTU.ID
11,OTU11,273,1,273,1523,541,813,100,494,3.12e-138,99.267,Methylomirabilota,Methylomirabilia,Rokubacteriales,_,_,_,FJ444671.1.1523,Bacteria,OTU11.Methylomirabilota._
12,OTU12,273,1,273,1486,517,789,100,494,3.12e-138,99.267,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,_,_,EU786123.1.1486,Bacteria,OTU12.Chloroflexi._
13,OTU13,273,1,273,914,465,737,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,HQ739002.1.914,Archaea,OTU13.Crenarchaeota.uncultured|archaeon
14,OTU14,273,1,273,1500,513,786,100,466,6.81e-130,97.445,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,HQ864192.1.1500,Bacteria,OTU14.Proteobacteria._
15,OTU15,275,1,275,1346,478,752,100,459,1.15e-127,96.739,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,EU133443.1.1346,Bacteria,OTU15.Proteobacteria._
16,OTU16,273,1,273,1308,445,717,100,494,3.12e-138,99.267,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,JN562355.1.1308,Archaea,OTU16.Crenarchaeota.uncultured|archaeon
17,OTU17,273,1,273,1472,513,785,100,488,1.45e-136,98.901,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,_,LC026829.1.1472,Bacteria,OTU17.Firmicutes.Planococcus
18,OTU18,121,1,121,1501,500,620,100,224,1.75e-57,100,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium|tusciae|JS617,AGJJ02000004.139203.140703,Bacteria,OTU18.Actinobacteriota.Mycobacterium
19,OTU19,273,1,273,1469,496,768,100,494,3.12e-138,99.267,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,uncultured|Chloroflexi|bacterium,_,EU979025.1.1469,Bacteria,OTU19.Chloroflexi.uncultured|Chloroflexi|bacterium
20,OTU20,273,1,273,912,465,737,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,KX061157.1.912,Archaea,OTU20.Crenarchaeota.uncultured|archaeon
21,OTU21,274,1,274,1492,513,786,100,496,8.72e-139,99.27,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Microcoleus|Es-Yyy1400,uncultured|microorganism,KP676444.1.1492,Bacteria,OTU21.Cyanobacteria.Microcoleus|Es-Yyy1400
22,OTU22,273,1,273,1327,481,753,100,466,6.81e-130,97.436,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,_,_,JF210530.1.1327,Bacteria,OTU22.Chloroflexi._
23,OTU23,273,1,273,1362,485,757,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,_,FJ658351.1.1362,Bacteria,OTU23.Actinobacteriota.Blastococcus
24,OTU24,273,1,273,1386,440,712,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,uncultured|Alphaproteobacteria|bacterium,JN825374.1.1386,Bacteria,OTU24.Proteobacteria._
25,OTU25,273,1,273,1476,517,789,100,499,6.71e-140,99.634,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,_,_,KY190684.1.1476,Bacteria,OTU25.Acidobacteriota._
26,OTU26,273,1,273,1491,514,786,100,488,1.45e-136,98.901,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Hyalangium,Hyalangium|minutum,DQ768124.1.1491,Bacteria,OTU26.Myxococcota.Hyalangium
27,OTU27,274,1,274,1521,536,809,100,496,8.72e-139,99.27,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,_,FJ478667.1.1521,Bacteria,OTU27.Acidobacteriota.RB41
28,OTU28,273,1,273,1529,540,812,100,494,3.12e-138,99.267,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus|megaterium|NCT-2,CP032527.1.5193616,Bacteria,OTU28.Firmicutes.Bacillus
29,OTU29,274,1,274,1386,443,716,100,451,1.91e-125,96.35,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,uncultured|Alphaproteobacteria|bacterium,JN825373.1.1386,Bacteria,OTU29.Proteobacteria._
30,OTU30,274,1,274,1314,433,706,100,490,4.06e-137,98.905,Proteobacteria,Alphaproteobacteria,Azospirillales,_,_,_,JN607035.1.1314,Bacteria,OTU30.Proteobacteria._
31,OTU31,273,1,273,1502,502,774,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,metagenome,FPLL01008804.11.1512,Bacteria,OTU31.Actinobacteriota.Marmoricola
32,OTU32,273,2,273,1456,478,749,99,448,2.47e-124,96.324,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,_,_,JQ769623.1.1456,Bacteria,OTU32.Cyanobacteria._
33,OTU33,273,1,273,1499,514,786,100,488,1.45e-136,98.901,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,_,_,GQ472385.1.1499,Bacteria,OTU33.Gemmatimonadota._
34,OTU34,273,1,273,1461,523,795,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,metagenome,FPLS01016444.19.1479,Bacteria,OTU34.Proteobacteria.Steroidobacter
35,OTU35,273,1,273,1499,488,760,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,Methyloceanibacter|superfactus,LPWF01000023.111361.112859,Bacteria,OTU35.Proteobacteria.Methyloceanibacter
36,OTU37,273,1,273,1296,326,598,100,449,6.86e-125,96.337,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,_,KC820861.1.1296,Bacteria,OTU37.Chloroflexi._
37,OTU38,273,1,273,1408,485,757,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea|candida,DQ285421.1.1408,Bacteria,OTU38.Actinobacteriota.Nonomuraea
38,OTU39,273,1,273,1488,540,812,100,472,1.46e-131,97.802,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured|gamma|proteobacterium,KC009935.1.1488,Bacteria,OTU39.Proteobacteria.Woeseia
39,OTU40,273,1,273,1348,491,763,100,488,1.45e-136,98.901,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured|Chloroflexi|bacterium,_,AM935396.1.1348,Bacteria,OTU40.Chloroflexi.uncultured|Chloroflexi|bacterium
40,OTU41,273,1,273,1514,535,807,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,_,_,FJ479348.1.1514,Bacteria,OTU41.Acidobacteriota._
41,OTU42,274,1,274,1468,491,764,100,490,4.06e-137,98.905,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,uncultured|planctomycete,_,HQ397106.1.1468,Bacteria,OTU42.Planctomycetota.uncultured|planctomycete
42,OTU43,273,1,273,1515,538,810,100,399,7.01e-110,93.066,Gemmatimonadota,S0134|terrestrial|group,_,_,_,_,JQ825031.1.1515,Bacteria,OTU43.Gemmatimonadota._
43,OTU44,273,1,273,1504,613,885,100,488,1.45e-136,98.901,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4|lineage,_,EU135053.1.1504,Bacteria,OTU44.Planctomycetota.Pir4|lineage
44,OTU45,273,1,273,1569,568,840,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces|levis,DQ442517.1.1569,Bacteria,OTU45.Actinobacteriota.Streptomyces
45,OTU46,273,1,273,1409,450,722,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,_,LC026923.1.1409,Bacteria,OTU46.Proteobacteria.Skermanella
46,OTU47,273,1,273,1357,497,769,100,472,1.46e-131,97.802,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,_,KR779684.1.1357,Bacteria,OTU47.Actinobacteriota.Gaiella
47,OTU48,273,1,273,1519,532,804,100,488,1.45e-136,98.901,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,_,HQ190568.1.1519,Bacteria,OTU48.Actinobacteriota.Gaiella
48,OTU49,274,1,274,1467,498,771,100,501,1.87e-140,99.635,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,HQ697759.1.1467,Bacteria,OTU49.Chloroflexi._
49,OTU50,273,1,273,1500,522,794,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria|Incertae|Sedis,Unknown|Family,Acidibacter,uncultured|Sinobacteraceae|bacterium,KJ192005.1.1500,Bacteria,OTU50.Proteobacteria.Acidibacter
50,OTU51,273,1,273,1521,541,813,100,494,3.12e-138,99.267,Methylomirabilota,Methylomirabilia,Rokubacteriales,_,_,_,JQ825003.1.1521,Bacteria,OTU51.Methylomirabilota._
51,OTU52,273,1,273,1509,500,772,100,477,3.15e-133,98.168,Acidobacteriota,Blastocatellia,DS-100,_,_,_,JQ427176.1.1509,Bacteria,OTU52.Acidobacteriota._
52,OTU53,273,1,273,1312,456,728,100,499,6.71e-140,99.634,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,_,_,HM240942.1.1312,Bacteria,OTU53.Cyanobacteria._
53,OTU54,273,1,273,1460,483,755,100,427,3.21e-118,94.891,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Synechococcus|IR11,_,JX133605.1.1460,Bacteria,OTU54.Cyanobacteria.Synechococcus|IR11
54,OTU55,273,1,273,1508,498,770,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,_,_,FJ152857.1.1508,Bacteria,OTU55.Acidobacteriota._
55,OTU56,273,1,273,1510,530,802,100,460,3.17e-128,97.07,Actinobacteriota,Thermoleophilia,Gaiellales,_,_,_,DQ404672.1.1510,Bacteria,OTU56.Actinobacteriota._
56,OTU57,273,1,273,1470,502,774,100,477,3.15e-133,98.168,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,HQ697772.1.1470,Bacteria,OTU57.Chloroflexi._
57,OTU58,272,1,272,1478,499,770,100,481,2.42e-134,98.529,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Candidatus|Entotheonella,_,KC331600.1.1478,Bacteria,OTU58.Entotheonellaeota.Candidatus|Entotheonella
58,OTU59,274,1,274,1497,501,774,100,440,4.14e-122,95.62,Chloroflexi,Anaerolineae,SBR1031,_,_,_,KC541034.1.1497,Bacteria,OTU59.Chloroflexi._
59,OTU60,274,1,274,1446,486,759,100,490,4.06e-137,98.905,Actinobacteriota,Acidimicrobiia,Microtrichales,_,_,_,EF157225.1.1446,Bacteria,OTU60.Actinobacteriota._
60,OTU61,273,1,273,1453,505,777,100,494,3.12e-138,99.267,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,uncultured|Chloroflexi|bacterium,KC009959.1.1453,Bacteria,OTU61.Chloroflexi._
61,OTU62,273,1,273,1434,455,727,100,449,6.86e-125,96.337,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,_,uncultured|cyanobacterium,_,KC463673.1.1434,Bacteria,OTU62.Cyanobacteria.uncultured|cyanobacterium
62,OTU63,273,1,273,1334,492,764,100,494,3.12e-138,99.267,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured|soil|bacterium,_,FQ659571.1.1334,Bacteria,OTU63.Chloroflexi.uncultured|soil|bacterium
63,OTU64,273,1,273,1509,499,771,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,_,_,FJ152800.1.1509,Bacteria,OTU64.Acidobacteriota._
64,OTU65,146,1,146,1512,660,805,100,259,6.06e-68,98.63,Acidobacteriota,Vicinamibacteria,Subgroup|17,_,_,_,FJ478605.1.1512,Bacteria,OTU65.Acidobacteriota._
65,OTU66,273,1,273,1452,467,739,100,499,6.71e-140,99.634,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,_,_,KX753116.1.1452,Bacteria,OTU66.Planctomycetota._
66,OTU67,273,1,273,1515,535,807,100,488,1.45e-136,98.901,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup|10,_,FJ478537.1.1515,Bacteria,OTU67.Acidobacteriota.Subgroup|10
67,OTU68,273,1,273,1524,543,815,100,488,1.45e-136,98.901,RCP2-54,_,_,_,_,_,JQ978529.1.1524,Bacteria,OTU68.RCP2-54._
68,OTU69,273,1,273,912,465,737,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,EF125529.1.912,Archaea,OTU69.Crenarchaeota.uncultured|archaeon
69,OTU70,273,1,273,1432,478,750,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,uncultured|Kocuria|sp,KX911475.1.1432,Bacteria,OTU70.Actinobacteriota.Kocuria
70,OTU71,274,1,274,1490,500,773,100,484,1.89e-135,98.54,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,uncultured|Rhodospirillales|bacterium,JF421187.1.1490,Bacteria,OTU71.Proteobacteria._
71,OTU72,273,1,273,1544,530,802,100,455,1.47e-126,96.703,Actinobacteriota,Thermoleophilia,Gaiellales,_,_,_,KC554146.1.1544,Bacteria,OTU72.Actinobacteriota._
72,OTU73,273,1,273,1414,495,767,100,488,1.45e-136,98.901,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus|niabensis,MH698845.1.1414,Bacteria,OTU73.Firmicutes.Bacillus
73,OTU74,273,1,273,1344,487,759,100,483,6.76e-135,98.535,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,uncultured|actinobacterium,AY250880.1.1344,Bacteria,OTU74.Actinobacteriota.Quadrisphaera
74,OTU75,274,1,274,1479,498,771,100,490,4.06e-137,98.905,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,_,_,HM366468.1.1479,Bacteria,OTU75.Planctomycetota._
75,OTU76,273,1,273,1002,387,659,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus|Nitrososphaera,uncultured|archaeon,HQ269048.1.1002,Archaea,OTU76.Crenarchaeota.Candidatus|Nitrososphaera
76,OTU77,273,1,273,1458,489,761,100,427,3.21e-118,94.872,Chloroflexi,OLB14,_,_,_,_,JF727734.1.1458,Bacteria,OTU77.Chloroflexi._
77,OTU78,273,1,273,1448,472,744,100,460,3.17e-128,97.07,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya|RV74,_,FB705429.1.1448,Bacteria,OTU78.Cyanobacteria.Leptolyngbya|RV74
78,OTU79,273,1,273,1391,424,696,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium|sp.|CCBAU|43197,DQ267115.1.1391,Bacteria,OTU79.Proteobacteria.Bradyrhizobium
79,OTU80,273,1,273,1310,468,740,100,499,6.71e-140,99.634,Chloroflexi,Anaerolineae,SBR1031,A4b,OLB13,_,KC431975.1.1310,Bacteria,OTU80.Chloroflexi.OLB13
80,OTU81,273,1,273,1434,494,766,100,488,1.45e-136,98.901,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,uncultured|Bacteroidetes|bacterium,KC442522.1.1434,Bacteria,OTU81.Bacteroidota.Pontibacter
81,OTU82,273,1,273,1516,520,792,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,CCD24,metagenome,_,_,FPLS01015982.11.1526,Bacteria,OTU82.Proteobacteria._
82,OTU83,274,1,274,1484,517,790,100,501,1.87e-140,99.635,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured|Acidobacteria|bacterium,JF319237.1.1484,Bacteria,OTU83.Acidobacteriota.RB41
83,OTU84,273,1,273,1304,446,718,100,477,3.15e-133,98.168,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Pelagibius,uncultured|Alphaproteobacteria|bacterium,AM935521.1.1304,Bacteria,OTU84.Proteobacteria.Pelagibius
84,OTU85,273,1,273,1505,510,782,100,449,6.86e-125,96.337,Chloroflexi,Anaerolineae,SBR1031,_,_,_,KM823731.1.1505,Bacteria,OTU85.Chloroflexi._
85,OTU86,273,1,273,1442,454,726,100,494,3.12e-138,99.267,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Tolypothrix,Nostoc|carneum|SERB|44,KP890766.1.1442,Bacteria,OTU86.Cyanobacteria.Tolypothrix
86,OTU87,273,1,273,1374,472,744,100,488,1.45e-136,98.901,Myxococcota,bacteriap25,uncultured|Desulfuromonadales|bacterium,_,_,_,LN555055.1.1374,Bacteria,OTU87.Myxococcota._
87,OTU88,273,1,273,1461,480,752,100,494,3.12e-138,99.267,Proteobacteria,Alphaproteobacteria,_,_,_,_,HQ910281.1.1461,Bacteria,OTU88.Proteobacteria._
88,OTU89,273,1,273,1512,534,806,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,_,_,FJ444638.1.1512,Bacteria,OTU89.Acidobacteriota._
89,OTU90,273,1,273,1247,440,712,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,_,JX523919.1.1247,Bacteria,OTU90.Actinobacteriota.Actinoplanes
90,OTU91,273,1,273,1350,476,748,100,433,6.91e-120,95.238,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,_,GQ461665.1.1350,Bacteria,OTU91.Chloroflexi._
91,OTU92,273,1,273,1561,550,822,100,488,1.45e-136,98.901,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Novibacillus,Novibacillus|thermophilus,CP019699.1846965.1848525,Bacteria,OTU92.Firmicutes.Novibacillus
92,OTU93,273,1,273,1464,519,791,100,488,1.45e-136,98.901,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,_,JX872373.1.1464,Bacteria,OTU93.Firmicutes.Bacillus
93,OTU94,273,1,273,1430,470,742,100,483,6.76e-135,98.535,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Limibaculum,uncultured|Alphaproteobacteria|bacterium,JN038228.1.1430,Bacteria,OTU94.Proteobacteria.Limibaculum
94,OTU95,273,1,273,1324,471,743,100,466,6.81e-130,97.436,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,EU134013.1.1324,Bacteria,OTU95.Chloroflexi._
95,OTU96,273,1,273,1516,535,807,100,488,1.45e-136,98.901,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured|Bacillus|sp,JF727711.1.1516,Bacteria,OTU96.Firmicutes.Bacillus
96,OTU97,273,1,273,1366,510,782,100,488,1.45e-136,98.901,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,_,_,JF220882.1.1366,Bacteria,OTU97.Actinobacteriota._
97,OTU98,273,1,273,1223,214,486,100,494,3.12e-138,99.267,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,_,AY923079.1.1223,Bacteria,OTU98.Proteobacteria.Microvirga
98,OTU99,273,1,273,1425,471,743,100,494,3.12e-138,99.267,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,_,GQ263303.1.1425,Bacteria,OTU99.Proteobacteria.Methyloceanibacter
99,OTU100,273,1,273,1287,510,782,100,494,3.12e-138,99.267,Actinobacteriota,Thermoleophilia,Gaiellales,_,_,_,EU132780.1.1287,Bacteria,OTU100.Actinobacteriota._
100,OTU101,273,2,273,1527,562,833,99,464,2.45e-129,97.426,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4|lineage,Planctomycetaceae|bacterium|LX124,KC854918.1.1527,Bacteria,OTU101.Planctomycetota.Pir4|lineage
101,OTU102,273,1,273,1319,477,749,100,438,1.48e-121,95.604,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,_,_,GQ001578.1.1319,Bacteria,OTU102.Chloroflexi._
102,OTU103,273,1,273,1348,438,710,100,483,6.76e-135,98.535,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,_,uncultured|Gemmatimonadetes|bacterium,HF679285.1.1348,Bacteria,OTU103.Gemmatimonadota._
103,OTU104,273,1,273,1391,384,656,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces|sp.|NRRL|WC-3725,JOJH01000107.227.1617,Bacteria,OTU104.Actinobacteriota.Streptomyces
104,OTU105,273,1,273,1460,495,767,100,472,1.46e-131,97.802,Chloroflexi,Anaerolineae,Ardenticatenales,_,_,_,FJ710693.1.1460,Bacteria,OTU105.Chloroflexi._
105,OTU106,273,1,273,1501,500,772,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium|tusciae|JS617,AGJJ02000004.139203.140703,Bacteria,OTU106.Actinobacteriota.Mycobacterium
106,OTU107,273,1,273,1506,483,756,100,427,3.21e-118,94.909,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,JX079441.1.1506,Bacteria,OTU107.Proteobacteria._
107,OTU108,273,1,273,1454,475,747,100,449,6.86e-125,96.364,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya|ANT.L52.2,_,JQ769597.1.1454,Bacteria,OTU108.Cyanobacteria.Leptolyngbya|ANT.L52.2
108,OTU109,273,1,273,1514,504,776,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,_,KM823745.1.1514,Bacteria,OTU109.Proteobacteria.Lysobacter
109,OTU110,273,1,273,1469,499,771,100,433,6.91e-120,95.238,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,_,HQ190431.1.1469,Bacteria,OTU110.Chloroflexi._
110,OTU111,273,1,273,1484,517,789,100,483,6.76e-135,98.535,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,_,LC026824.1.1484,Bacteria,OTU111.Verrucomicrobiota.Chthoniobacter
111,OTU112,273,1,273,914,466,738,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus|Nitrososphaera,uncultured|archaeon,GQ302599.1.914,Archaea,OTU112.Crenarchaeota.Candidatus|Nitrososphaera
112,OTU113,273,1,273,1467,500,772,100,405,1.51e-111,93.407,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,uncultured|Chloroflexi|bacterium,_,HQ857691.1.1467,Bacteria,OTU113.Chloroflexi.uncultured|Chloroflexi|bacterium
113,OTU114,274,1,274,1519,538,811,100,490,4.06e-137,98.905,Gemmatimonadota,S0134|terrestrial|group,_,_,_,_,FJ444711.1.1519,Bacteria,OTU114.Gemmatimonadota._
114,OTU115,273,1,273,1459,501,773,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,uncultured|beta|proteobacterium,JF776963.1.1459,Bacteria,OTU115.Proteobacteria.MND1
115,OTU116,273,1,273,1475,489,761,100,466,6.81e-130,97.436,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,KJ817572.1.1475,Bacteria,OTU116.Proteobacteria._
116,OTU117,273,1,273,1511,520,792,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira,metagenome,FPLS01033007.15.1525,Bacteria,OTU117.Proteobacteria.Nitrosospira
117,OTU118,274,1,274,1475,526,799,100,484,1.89e-135,98.54,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,_,_,GQ261285.1.1475,Bacteria,OTU118.Gemmatimonadota._
118,OTU119,273,1,273,1429,450,722,100,494,3.12e-138,99.267,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,_,LC026850.1.1429,Bacteria,OTU119.Proteobacteria.Skermanella
